time,eui-e8e1e1000104c5ca
25/06/2023 17:00,39
25/06/2023 17:30,39
25/06/2023 18:00,39
25/06/2023 18:30,39
25/06/2023 19:00,39
25/06/2023 19:30,39
25/06/2023 20:00,39
26/06/2023 09:00,39
26/06/2023 09:30,39
26/06/2023 10:00,39
26/06/2023 10:30,39
26/06/2023 11:00,39
26/06/2023 11:30,39
26/06/2023 12:00,39
26/06/2023 12:30,39
26/06/2023 13:00,39
26/06/2023 13:30,39
26/06/2023 14:30,39
26/06/2023 15:00,39
26/06/2023 15:30,39
26/06/2023 16:00,39
26/06/2023 17:00,39
26/06/2023 18:00,39
26/06/2023 19:00,39
26/06/2023 19:30,39
26/06/2023 20:00,39
27/06/2023 10:00,39
27/06/2023 10:30,39
27/06/2023 11:30,39
27/06/2023 12:00,39
27/06/2023 12:30,39
27/06/2023 13:30,39
27/06/2023 14:00,39
27/06/2023 14:30,39
27/06/2023 15:30,39
27/06/2023 16:30,39
27/06/2023 17:30,39
27/06/2023 18:00,39
27/06/2023 18:30,39
27/06/2023 19:30,39
27/06/2023 20:00,39
28/06/2023 09:00,39
28/06/2023 09:30,39
28/06/2023 10:00,39
28/06/2023 10:30,39
28/06/2023 12:00,39
28/06/2023 12:30,39
28/06/2023 13:00,39
28/06/2023 14:00,39
28/06/2023 14:30,39
28/06/2023 15:30,39
28/06/2023 16:30,39
28/06/2023 17:00,39
28/06/2023 17:30,39
28/06/2023 18:00,39
28/06/2023 18:30,39
28/06/2023 19:00,39
28/06/2023 19:30,39
28/06/2023 20:00,39
29/06/2023 09:00,39
29/06/2023 09:30,39
29/06/2023 10:00,39
29/06/2023 10:30,39
29/06/2023 11:00,39
29/06/2023 11:30,39
29/06/2023 12:00,39
29/06/2023 12:30,39
29/06/2023 13:30,39
29/06/2023 14:00,39
29/06/2023 14:30,39
29/06/2023 15:00,39
29/06/2023 15:30,39
29/06/2023 16:00,39
29/06/2023 16:30,39
29/06/2023 17:00,39
29/06/2023 17:30,39
29/06/2023 18:00,39
29/06/2023 18:30,39
29/06/2023 19:00,39
29/06/2023 19:30,39
29/06/2023 20:00,39
30/06/2023 09:00,39
30/06/2023 09:30,39
30/06/2023 10:00,39
30/06/2023 11:00,39
30/06/2023 11:30,39
30/06/2023 12:30,39
30/06/2023 13:00,39
30/06/2023 13:30,39
30/06/2023 14:00,39
30/06/2023 14:30,39
30/06/2023 15:00,39
30/06/2023 15:30,39
30/06/2023 16:00,39
30/06/2023 17:30,39
30/06/2023 18:00,39
30/06/2023 18:30,39
30/06/2023 19:00,39
30/06/2023 19:30,39
30/06/2023 20:00,39
01/07/2023 09:00,39
01/07/2023 09:30,39
01/07/2023 10:00,39
01/07/2023 10:30,39
01/07/2023 11:00,39
01/07/2023 11:30,39
01/07/2023 12:00,39
01/07/2023 12:30,39
01/07/2023 13:00,39
01/07/2023 14:00,39
01/07/2023 14:30,39
01/07/2023 15:30,39
01/07/2023 16:00,39
01/07/2023 16:30,39
01/07/2023 17:00,39
01/07/2023 18:30,39
01/07/2023 19:00,39
01/07/2023 19:30,39
01/07/2023 20:00,39
02/07/2023 09:00,39
02/07/2023 09:30,39
02/07/2023 10:00,39
02/07/2023 10:30,39
02/07/2023 11:00,39
02/07/2023 11:30,39
02/07/2023 12:00,39
02/07/2023 12:30,39
02/07/2023 13:00,39
02/07/2023 13:30,39
02/07/2023 14:00,39
02/07/2023 14:30,39
02/07/2023 15:00,39
02/07/2023 15:30,39
02/07/2023 16:00,39
02/07/2023 16:30,39
02/07/2023 17:00,39
02/07/2023 17:30,39
02/07/2023 18:00,39
02/07/2023 18:30,39
02/07/2023 19:00,39
02/07/2023 19:30,39
02/07/2023 20:00,39
